Title ,TRANCHE,CG4:SCORE,CG3:STERIC,CG3:CLASH,CG3:Pro Desolve,CG3:Lig Desolve,CG3: Lig Desolv HB,CG4:HB,PSA,XLogP,N formal charges,HBA,HBD,Lipinski HBD,Max_ring_size,MW,N_ring_systems,N_rot_bonds,Formal Charge,
ZINC000607197078,EHED,-6.797935,-9.017256,0.314161,3.313331,2.297524,-1.502314,-2.20338,61.36,5.01,0,2,3,3,6,348.44,3,5,0,
ZINC000615415164,EHED,-6.791196,-10.290154,0.321438,3.396418,0.822185,-0.30996,-0.731122,50.36,5.06,0,1,2,2,6,348.44,3,7,0,
ZINC000521043335,EHED,-6.767671,-8.118726,0.206263,2.858027,2.329023,-1.538436,-2.503822,58.2,5.45,0,2,2,2,6,348.44,2,8,0,
ZINC000493445085,EHED,-6.747179,-9.468943,0.172166,3.115993,2.305688,-1.537664,-1.33442,62.72,5.03,0,2,2,2,6,349.44,2,8,0,
ZINC000619885595,EHED,-6.728404,-7.996549,0.491156,2.847831,2.329656,-2.125207,-2.275291,58.2,5.21,0,2,2,2,6,348.44,2,7,0,
ZINC000523478229,EHED,-6.715125,-8.197778,0.361056,3.109467,2.379342,-1.800108,-2.567103,58.2,5.21,0,2,2,2,6,348.44,2,7,0,
ZINC000607197071,EHED,-6.692801,-7.903316,0.317471,2.595707,1.981799,-1.087628,-2.596833,61.36,5.01,0,2,3,3,6,348.44,3,5,0,
ZINC000619885599,EHED,-6.689101,-7.812175,0.401319,3.000208,2.377433,-1.981916,-2.67397,58.2,5.21,0,2,2,2,6,348.44,2,7,0,
ZINC000794877962,EHED,-6.673674,-8.293612,0.256959,2.801213,1.382693,-1.684685,-1.136241,62.72,5.03,0,2,2,2,6,331.45,2,8,0,
ZINC000437675730,EHED,-6.657699,-8.513075,0.303978,2.64483,1.600456,-0.789781,-1.904108,61.36,5.08,0,2,3,3,6,348.44,3,5,0,
ZINC000777575555,EHED,-6.642881,-8.206006,0.33477,3.183337,1.799469,-2.035303,-1.719149,50.36,5.17,0,2,2,2,6,340.34,2,6,0,
ZINC000872407581,EHED,-6.600524,-8.875277,0.246222,3.106402,2.31098,-1.861175,-1.527676,62.72,5.4,0,2,2,2,6,345.43,2,7,0,
ZINC000560160454,EHED,-6.582462,-7.532398,0.367452,3.205651,3.308117,-3.485543,-2.445741,57.78,5.1,0,2,2,2,6,349.35,2,5,0,
ZINC000775473400,EHED,-6.5536,-8.113499,0.158068,2.583485,1.789845,-1.650819,-1.32068,59.59,5.14,0,3,2,2,6,336.38,3,5,0,
ZINC000643075384,EHED,-6.54537,-9.460331,0.385222,3.843039,2.333744,-1.287523,-2.359521,58.2,5.24,0,2,2,2,6,348.44,2,7,0,
ZINC000797632525,EHED,-6.536005,-8.314245,0.247721,3.725012,2.36223,-2.378628,-2.178097,54.02,5.12,0,2,2,2,6,345.37,3,5,0,
ZINC000775473401,EHED,-6.527484,-8.423317,0.271154,2.642881,1.684024,-1.497019,-1.205207,59.59,5.14,0,3,2,2,6,336.38,3,5,0,
ZINC000607197076,EHED,-6.483598,-10.064023,0.359396,3.184024,2.234432,-0.436656,-1.760771,61.36,5.01,0,2,3,3,6,348.44,3,5,0,
ZINC000793299997,EHED,-6.440447,-8.321727,0.171142,2.701714,1.71574,-1.334816,-1.3725,54.02,5.12,0,2,2,2,6,345.37,3,5,0,
ZINC000523478231,EHED,-6.435146,-8.499783,0.499274,3.615376,2.465369,-1.869718,-2.645666,58.2,5.21,0,2,2,2,6,348.44,2,7,0,
ZINC000549168375,EHED,-6.424381,-8.724913,0.314273,3.669398,2.170237,-2.645274,-1.208101,50.36,5.06,0,1,2,2,6,348.44,3,7,0,
ZINC000901345851,EHED,-6.411339,-9.929439,0.210894,3.392861,2.37871,-1.212556,-1.251808,62.72,5.34,0,2,2,2,6,345.43,2,6,0,
ZINC000521043334,EHED,-6.409729,-7.941223,0.221048,2.798213,2.315087,-1.396208,-2.406645,58.2,5.45,0,2,2,2,6,348.44,2,8,0,
ZINC000815874922,EHED,-6.390995,-8.716529,0.337798,3.336701,2.204428,-2.123786,-1.429607,70.67,5.29,0,3,2,2,6,344.41,3,5,0,
ZINC000523478230,EHED,-6.388999,-8.007922,0.375577,2.907228,2.409425,-1.553519,-2.519788,58.2,5.21,0,2,2,2,6,348.44,2,7,0,
ZINC000535357551,EHED,-6.382859,-8.82192,0.195471,2.701457,2.264107,-1.363144,-1.358829,50.36,5,0,1,2,2,6,334.29,2,6,0,
ZINC000175041857,EHED,-6.349734,-8.433409,0.258822,3.594431,1.605935,-1.372633,-2.002879,70.67,5.06,0,3,2,2,6,330.38,3,4,0,
ZINC000523478232,EHED,-6.328254,-8.192936,0.325922,3.345685,2.328171,-1.551778,-2.583317,58.2,5.21,0,2,2,2,6,348.44,2,7,0,
ZINC000835010860,EHED,-6.31045,-9.457831,0.265441,3.619362,1.49954,-1.336192,-0.90077,62.72,5.29,0,2,2,2,6,335.42,2,7,0,
ZINC000872407585,EHED,-6.282051,-10.107884,0.36366,4.05191,1.499523,-1.227825,-0.861435,62.72,5.4,0,2,2,2,6,345.43,2,7,0,
ZINC000437675725,EHED,-6.278616,-8.727121,0.293183,2.955119,1.065138,-0.555653,-1.309281,61.36,5.08,0,2,3,3,6,348.44,3,5,0,
ZINC000780979909,EHED,-6.275077,-8.278856,0.421322,3.629344,2.100878,-2.105406,-2.042357,70.92,5.03,0,3,2,2,6,346.46,2,11,0,
ZINC000853335112,EHED,-6.265924,-9.902323,0.402599,4.031121,1.499698,-1.337664,-0.959353,62.72,5.26,0,2,2,2,6,345.48,2,9,0,
ZINC000518453723,EHED,-6.246347,-7.728908,0.12746,3.078158,2.386834,-2.329648,-1.780243,50.36,5.23,0,2,2,2,6,342.48,2,10,0,
ZINC000758059191,EHED,-6.223381,-8.280023,0.416053,2.499804,4.785658,-2.727541,-2.917331,92.26,5.13,0,4,2,2,6,347.39,2,9,0,
ZINC000777716600,EHED,-6.218223,-7.638469,0.286921,3.275015,1.799428,-2.124889,-1.816229,50.36,5.17,0,2,2,2,6,340.34,2,6,0,
